Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-TQ-A7RF	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0
TCGA-TQ-A7RH	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	39	0	0	0	0	0
TCGA-TQ-A7RJ	39	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	17	0
TCGA-TQ-A7RK	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	50	0	33
TCGA-TQ-A7RM	0	62	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0
TCGA-TQ-A7RR	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
TCGA-TQ-A7RV	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	60	0	0
TCGA-TQ-A7RW	33	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
TCGA-TQ-A8XE	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0
TCGA-VM-A8C8	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	72	0	0
TCGA-VM-A8CF	0	54	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
TCGA-VM-A8CH	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0
TCGA-VV-A86M	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0
TCGA-WH-A86K	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
TCGA-WY-A858	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0
TCGA-WY-A859	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0
TCGA-WY-A85A	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
TCGA-WY-A85B	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0
TCGA-WY-A85C	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
TCGA-WY-A85D	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0
