Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-DU-7011	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
TCGA-DU-7015	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	54	0	0
TCGA-DU-7298	37	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0
TCGA-DU-7299	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0
TCGA-DU-7301	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0
TCGA-DU-7304	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	36	0	0
TCGA-DU-7306	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	52	0	0
TCGA-DU-7309	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	56	0	0
TCGA-DU-8163	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
TCGA-DU-8166	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
TCGA-DU-8167	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0
TCGA-DU-A5TP	35	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0
TCGA-DU-A5TR	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	107	0
TCGA-DU-A5TS	27	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	49	46	0
TCGA-DU-A5TU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	99	0	0	0
TCGA-DU-A5TW	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	54	0	0
TCGA-DU-A6S7	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0
TCGA-DU-A76O	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
TCGA-DU-A7T8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	228	0
TCGA-DU-A7TA	0	46	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0
TCGA-DU-A7TC	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0
TCGA-E1-5302	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0
TCGA-E1-5303	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0
